,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,Positif Harian
0,2020-02-15,-2,-2,0
1,2020-02-16,-3,-3,0
2,2020-02-17,-3,-4,0
3,2020-02-18,-3,-2,0
4,2020-02-19,-3,-4,0
5,2020-02-20,-2,-1,0
6,2020-02-21,-2,-3,0
7,2020-02-22,0,0,0
8,2020-02-23,-2,-1,0
9,2020-02-24,-2,-3,0
10,2020-02-25,-5,-2,0
11,2020-02-26,-2,-1,0
12,2020-02-27,0,2,0
13,2020-02-28,1,3,0
14,2020-02-29,2,6,0
15,2020-03-01,1,5,0
16,2020-03-02,5,12,2
17,2020-03-03,3,10,0
18,2020-03-04,0,4,0
19,2020-03-05,4,8,0
20,2020-03-06,2,4,2
21,2020-03-07,3,6,0
22,2020-03-08,1,4,2
23,2020-03-09,2,3,13
24,2020-03-10,3,6,8
25,2020-03-11,3,5,7
26,2020-03-12,2,3,0
27,2020-03-13,2,3,35
28,2020-03-14,-2,3,27
29,2020-03-15,-7,3,21
30,2020-03-16,-7,2,17
31,2020-03-17,-9,1,38
32,2020-03-18,-11,0,55
33,2020-03-19,-16,-5,82
34,2020-03-20,-19,-7,60
35,2020-03-21,-23,-5,81
36,2020-03-22,-32,-15,64
37,2020-03-23,-27,-12,65
38,2020-03-24,-29,-11,107
39,2020-03-25,-38,-20,104
40,2020-03-26,-34,-17,103
41,2020-03-27,-36,-17,153
42,2020-03-28,-42,-20,109
43,2020-03-29,-47,-27,130
44,2020-03-30,-36,-20,129
45,2020-03-31,-35,-16,114
46,2020-04-01,-31,-10,149
47,2020-04-02,-33,-13,113
48,2020-04-03,-35,-17,196
49,2020-04-04,-40,-20,106
50,2020-04-05,-43,-24,181
51,2020-04-06,-34,-20,218
52,2020-04-07,-33,-16,247
53,2020-04-08,-34,-17,218
54,2020-04-09,-31,-13,337
55,2020-04-10,-43,-28,219
56,2020-04-11,-43,-24,330
57,2020-04-12,-46,-27,399
58,2020-04-13,-33,-19,316
59,2020-04-14,-34,-19,282
60,2020-04-15,-35,-19,297
61,2020-04-16,-34,-18,380
62,2020-04-17,-38,-23,407
63,2020-04-18,-43,-25,325
64,2020-04-19,-45,-26,327
65,2020-04-20,-34,-19,185
66,2020-04-21,-35,-19,375
67,2020-04-22,-34,-16,283
68,2020-04-23,-32,-10,357
69,2020-04-24,-49,-30,436
70,2020-04-25,-50,-29,396
71,2020-04-26,-53,-34,275
72,2020-04-27,-43,-28,214
73,2020-04-28,-43,-26,415
74,2020-04-29,-42,-24,260
75,2020-04-30,-40,-19,347
76,2020-05-01,-44,-23,433
77,2020-05-02,-46,-24,292
78,2020-05-03,-48,-28,349
79,2020-05-04,-38,-21,395
80,2020-05-05,-39,-19,484
81,2020-05-06,-38,-18,367
82,2020-05-07,-44,-18,338
83,2020-05-08,-44,-19,336
84,2020-05-09,-48,-22,533
85,2020-05-10,-48,-23,387
