date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;Positif Harian;;;
15/02/20;-2;-2;0;;;
16/02/20;-3;-3;0;;;
17/02/20;-3;-4;0;;;
18/02/20;-3;-2;0;;;
19/02/20;-3;-4;0;;;
20/02/20;-2;-1;0;;;
21/02/20;-2;-3;0;;;
22/02/20;0;0;0;;;
23/02/20;-2;-1;0;;;
24/02/20;-2;-3;0;;;
25/02/20;-5;-2;0;;;
26/02/20;-2;-1;0;;;
27/02/20;0;2;0;;;
28/02/20;1;3;0;;;
29/02/20;2;6;0;;;
01/03/20;1;5;0;;;
02/03/20;5;12;2;;;
03/03/20;3;10;0;;;
04/03/20;0;4;0;;;
05/03/20;4;8;0;;;
06/03/20;2;4;2;;;
07/03/20;3;6;0;;;
08/03/20;1;4;2;;;
09/03/20;2;3;13;;;
10/03/20;3;6;8;;;
11/03/20;3;5;7;;;
12/03/20;2;3;0;;;
13/03/20;2;3;35;;;
14/03/20;-2;3;27;;;
15/03/20;-7;3;21;;;
16/03/20;-7;2;17;;;
17/03/20;-9;1;38;;;
18/03/20;-11;0;55;;;
19/03/20;-16;-5;82;;;
20/03/20;-19;-7;60;;;
21/03/20;-23;-5;81;;;
22/03/20;-32;-15;64;;;
23/03/20;-27;-12;65;;;
24/03/20;-29;-11;107;;;
25/03/20;-38;-20;104;;;
26/03/20;-34;-17;103;;;
27/03/20;-36;-17;153;;;
28/03/20;-42;-20;109;;;
29/03/20;-47;-27;130;;;
30/03/20;-36;-20;129;;;
31/03/20;-35;-16;114;;;
01/04/20;-31;-10;149;;;
02/04/20;-33;-13;113;;;
03/04/20;-35;-17;196;;;
04/04/20;-40;-20;106;;;
05/04/20;-43;-24;181;;;
06/04/20;-34;-20;218;;;
07/04/20;-33;-16;247;;;
08/04/20;-34;-17;218;;;
09/04/20;-31;-13;337;;;
10/04/20;-43;-28;219;;;
11/04/20;-43;-24;330;;;
12/04/20;-46;-27;399;;;
13/04/20;-33;-19;316;;;
14/04/20;-34;-19;282;;;
15/04/20;-35;-19;297;;;
16/04/20;-34;-18;380;;;
17/04/20;-38;-23;407;;;
18/04/20;-43;-25;325;;;
19/04/20;-45;-26;327;;;
20/04/20;-34;-19;185;;;
21/04/20;-35;-19;375;;;
22/04/20;-34;-16;283;;;
23/04/20;-32;-10;357;;;
24/04/20;-49;-30;436;;;
25/04/20;-50;-29;396;;;
26/04/20;-53;-34;275;;;
27/04/20;-43;-28;214;;;
28/04/20;-43;-26;415;;;
29/04/20;-42;-24;260;;;
30/04/20;-40;-19;347;;;
01/05/20;-44;-23;433;;;
02/05/20;-46;-24;292;;;
03/05/20;-48;-28;349;;;
04/05/20;-38;-21;395;;;
05/05/20;-39;-19;484;;;
06/05/20;-38;-18;367;;;
07/05/20;-44;-18;338;;;
08/05/20;-44;-19;336;;;
09/05/20;-48;-22;533;;;
10/05/20;-48;-23;387;;;
11/05/20;-39;-16;233;;;
12/05/20;-38;-13;484;;;
13/05/20;-37;-12;689;;;
14/05/20;-36;-10;568;;;
15/05/20;-36;-9;490;;;
16/05/20;-37;-8;529;;;
17/05/20;-40;-13;489;;;
18/05/20;-33;-10;496;;;
19/05/20;-29;1;486;;;
20/05/20;-26;3;693;;;
21/05/20;-24;12;973;;;
22/05/20;-27;7;634;;;
23/05/20;-35;6;949;;;
24/05/20;-51;-30;526;;;
25/05/20;-40;-17;479;;;
26/05/20;-36;-12;415;;;
27/05/20;-32;-8;686;;;
28/05/20;-32;-8;687;;;
29/05/20;-33;-11;678;;;
30/05/20;-37;-11;557;;;
31/05/20;-37;-13;700;;;
01/06/20;-28;-7;467;;;
02/06/20;-27;-4;609;;;
03/06/20;-27;-4;684;;;
04/06/20;-27;-5;585;;;
05/06/20;-30;-9;703;;;
06/06/20;-31;-8;993;;;
07/06/20;-32;-10;672;;;
08/06/20;-24;-6;847;;;
09/06/20;-26;-7;1043;;;
10/06/20;-24;-4;1240;;;
11/06/20;-23;-5;979;;;
12/06/20;-26;-9;1111;;;
13/06/20;-28;-8;1014;;;
14/06/20;-29;-10;857;;;
15/06/20;-21;-6;1017;;;
16/06/20;-22;-5;1106;;;
17/06/20;-22;-5;1031;;;
18/06/20;-22;-7;1331;;;
19/06/20;-24;-10;1041;;;
20/06/20;-25;-7;1226;;;
21/06/20;-28;-11;862;;;
22/06/20;-21;-8;954;;;
23/06/20;-22;-7;1051;;;
24/06/20;-22;-7;1113;;;
25/06/20;-21;-4;1178;;;
26/06/20;-23;-7;1240;;;
27/06/20;-23;-5;1385;;;
28/06/20;-26;-8;1198;;;
29/06/20;-19;-5;1082;;;
30/06/20;-17;0;1293;;;
01/07/20;-16;2;1385;;;
02/07/20;-17;-1;1624;;;
03/07/20;-18;-2;1301;;;
04/07/20;-18;-1;1447;;;
05/07/20;-20;-2;1607;;;
06/07/20;-18;-4;1209;;;
07/07/20;-14;1;1268;;;
08/07/20;-16;-2;1853;;;
09/07/20;-16;-1;2657;;;
10/07/20;-18;-4;1611;;;
11/07/20;-19;-2;1671;;;
12/07/20;-20;-4;1681;;;
13/07/20;-16;-4;1282;;;
14/07/20;-18;-5;1591;;;
15/07/20;-17;-4;1522;;;
16/07/20;-17;-3;1574;;;
17/07/20;-19;-6;1462;;;
18/07/20;-19;-4;1752;;;
19/07/20;-21;-6;1639;;;
20/07/20;-16;-4;1693;;;
21/07/20;-18;-6;1655;;;
22/07/20;-18;-6;1882;;;
23/07/20;-19;-5;1906;;;
24/07/20;-19;-6;1761;;;
25/07/20;-18;-2;1868;;;
26/07/20;-21;-5;1492;;;
27/07/20;-16;-3;1525;;;
28/07/20;-16;-1;1748;;;
29/07/20;-14;3;2381;;;
30/07/20;-7;18;1904;;;
31/07/20;-29;-13;2040;;;
01/08/20;-22;-2;1560;;;
02/08/20;-20;-1;1519;;;
03/08/20;-13;2;1679;;;
04/08/20;-14;2;1922;;;
05/08/20;-13;2;1815;;;
06/08/20;-13;3;1882;;;
07/08/20;-15;-1;2473;;;
08/08/20;-15;1;2277;;;
09/08/20;-17;-2;1893;;;
10/08/20;-11;2;1687;;;
11/08/20;-15;-2;1693;;;
12/08/20;-12;1;1942;;;
13/08/20;-15;-2;2098;;;
14/08/20;-14;-1;2307;;;
15/08/20;-14;2;2345;;;
16/08/20;-15;0;2081;;;
17/08/20;-11;-2;1821;;;
18/08/20;-14;0;1673;;;
19/08/20;-11;4;1902;;;
20/08/20;-12;1;2266;;;
21/08/20;-15;-3;2197;;;
22/08/20;-18;-5;2090;;;
23/08/20;-21;-7;2037;;;
24/08/20;-14;-3;1877;;;
25/08/20;-14;0;2447;;;
26/08/20;-14;0;2306;;;
27/08/20;-13;2;2719;;;
28/08/20;-15;0;3003;;;
29/08/20;-15;1;3308;;;
30/08/20;-15;1;2858;;;
31/08/20;-12;2;2743;;;
01/09/20;-11;6;2775;;;
02/09/20;-12;3;3075;;;
03/09/20;-13;2;3622;;;
04/09/20;-13;1;3269;;;
05/09/20;-13;3;3128;;;
06/09/20;-14;2;3444;;;
07/09/20;-11;2;2880;;;
08/09/20;-12;2;3046;;;
09/09/20;-13;1;3307;;;
10/09/20;-13;1;3861;;;
11/09/20;-14;-3;3737;;;
12/09/20;-14;-1;3806;;;
13/09/20;-17;-4;3636;;;
14/09/20;-16;-5;3141;;;
15/09/20;-17;-5;3507;;;
16/09/20;-15;-2;3963;;;
17/09/20;-16;-3;3635;;;
18/09/20;-19;-6;3891;;;
19/09/20;-19;-3;4168;;;
20/09/20;-24;-9;3989;;;
21/09/20;-19;-7;4176;;;
22/09/20;-22;-8;4071;;;
23/09/20;-23;-6;4465;;;
24/09/20;-23;-7;4634;;;
25/09/20;-24;-6;4823;;;
26/09/20;-24;-4;4494;;;
27/09/20;-26;-8;3874;;;
28/09/20;-21;-4;3509;;;
29/09/20;-22;-4;4002;;;
30/09/20;-20;2;4284;;;
01/10/20;-20;5;4174;;;
02/10/20;-20;1;4317;;;
03/10/20;-19;3;4007;;;
04/10/20;-20;1;3992;;;
05/10/20;-17;2;3622;;;
06/10/20;-19;0;4056;;;
07/10/20;-18;1;4538;;;
08/10/20;-18;0;4850;;;
09/10/20;-20;-4;4094;;;
10/10/20;-22;-4;4294;;;
11/10/20;-19;-1;4497;;;
12/10/20;-17;-1;3267;;;
13/10/20;-19;-2;3906;;;
14/10/20;-16;0;4127;;;
15/10/20;-16;2;4411;;;
16/10/20;-20;-3;4301;;;
17/10/20;-17;3;4301;;;
18/10/20;-19;-1;4105;;;
19/10/20;-20;-3;3373;;;
20/10/20;-19;-2;3602;;;
21/10/20;-20;-4;4267;;;
22/10/20;-17;1;4432;;;
23/10/20;-18;-1;4369;;;
24/10/20;-18;1;4070;;;
25/10/20;-19;-1;3732;;;
26/10/20;-17;-1;3222;;;
27/10/20;-16;4;3520;;;
28/10/20;-10;10;4029;;;
29/10/20;-9;6;3565;;;
30/10/20;-16;-2;2897;;;
31/10/20;-23;-8;3143;;;
01/11/20;-18;0;2696;;;
02/11/20;-15;2;2618;;;
03/11/20;-15;2;2973;;;
04/11/20;-14;2;3356;;;
05/11/20;-16;0;4065;;;
06/11/20;-16;0;3778;;;
07/11/20;-15;0;4262;;;
08/11/20;-17;-1;3880;;;
09/11/20;-16;0;2853;;;
10/11/20;-16;0;3779;;;
11/11/20;-14;2;3770;;;
12/11/20;-14;1;4173;;;
13/11/20;-16;-2;5444;;;
14/11/20;-16;-1;5272;;;
15/11/20;-17;-2;4106;;;
16/11/20;-16;-1;3535;;;
17/11/20;-17;-1;3807;;;
18/11/20;-16;0;4265;;;
19/11/20;-17;-1;4798;;;
20/11/20;-17;-2;4792;;;
21/11/20;-17;-1;4998;;;
22/11/20;-19;-4;4360;;;
23/11/20;-19;-6;4442;;;
24/11/20;-19;-4;4192;;;
25/11/20;-16;1;5534;;;
26/11/20;-14;3;4917;;;
27/11/20;-17;-2;5828;;;
28/11/20;-17;0;5418;;;
29/11/20;-19;-3;6267;;;
30/11/20;-14;4;4617;;;
01/12/20;-14;7;5092;;;
02/12/20;-13;7;5533;;;
03/12/20;-13;5;8369;;;
04/12/20;-15;2;5803;;;
05/12/20;-17;1;6027;;;
06/12/20;-18;-2;6089;;;
07/12/20;-16;1;5754;;;
08/12/20;-13;5;5292;;;
09/12/20;-14;1;6058;;;
10/12/20;-14;6;6033;;;
11/12/20;-16;1;6310;;;
12/12/20;-19;1;6388;;;
13/12/20;-18;-1;6189;;;
14/12/20;-15;2;5489;;;
15/12/20;-15;3;6120;;;
16/12/20;-14;4;6725;;;
17/12/20;-15;3;7354;;;
18/12/20;-16;2;6689;;;
19/12/20;-15;5;7751;;;
20/12/20;-15;3;6982;;;
21/12/20;-11;5;6848;;;
22/12/20;-11;6;6347;;;
23/12/20;-8;12;7514;;;
24/12/20;-7;13;7199;;;
25/12/20;-16;-1;7259;;;
26/12/20;-19;0;6740;;;
27/12/20;-18;-1;6528;;;
28/12/20;-12;6;5854;;;
29/12/20;-15;3;7903;;;
30/12/20;-12;9;8002;;;
31/12/20;-7;23;8074;;;
01/01/21;-25;-8;8072;;;
02/01/21;-20;3;7203;;;
03/01/21;-21;-2;6877;;;
04/01/21;-15;5;6753;;;
05/01/21;-18;3;7445;;;
06/01/21;-15;4;8854;;;
07/01/21;-16;4;9321;;;
08/01/21;-18;0;10617;;;
09/01/21;-22;-4;10046;;;
10/01/21;-20;-1;9640;;;
11/01/21;-18;-2;8692;;;
12/01/21;-22;-6;10047;;;
13/01/21;-23;-8;11278;;;
14/01/21;-25;-12;11557;;;
15/01/21;-30;-18;12818;;;
16/01/21;-32;-19;14224;;;
17/01/21;-32;-19;11287;;;
18/01/21;-30;-19;9086;;;
19/01/21;-29;-16;10365;;;
20/01/21;-28;-15;12568;;;
21/01/21;-27;-15;11703;;;
22/01/21;-29;-17;13632;;;
23/01/21;-27;-13;12191;;;
24/01/21;-32;-20;11788;;;
25/01/21;-25;-12;9994;;;
26/01/21;-27;-14;13094;;;
27/01/21;-26;-12;11948;;;
28/01/21;-24;-9;13695;;;
29/01/21;-27;-12;13802;;;
30/01/21;-27;-8;14518;;;
31/01/21;-24;-5;12001;;;
01/02/21;-23;-5;10994;;;
02/02/21;-22;-3;10379;;;
03/02/21;-25;-9;11984;;;
04/02/21;-24;-8;11434;;;
05/02/21;-21;-4;11749;;;
06/02/21;-26;-10;12156;;;
07/02/21;-30;-16;10827;;;
08/02/21;-23;-8;8242;;;
09/02/21;-21;-4;8700;;;
10/02/21;-20;-3;8776;;;
11/02/21;-16;1;8435;;;
12/02/21;-22;-8;9869;;;
13/02/21;-24;-7;8844;;;
14/02/21;-26;-9;6765;;;
15/02/21;-21;-5;6462;;;
16/02/21;-23;-6;10029;;;
17/02/21;-21;-4;9687;;;
18/02/21;-24;-8;9039;;;
19/02/21;-23;-6;10614;;;
20/02/21;-25;-6;8054;;;
21/02/21;-23;-5;7300;;;
22/02/21;-21;-5;10180;;;
23/02/21;-23;-7;9775;;;
24/02/21;-22;-6;7533;;;
25/02/21;-19;0;8493;;;
26/02/21;-19;0;8232;;;
27/02/21;-18;4;6208;;;
28/02/21;-17;4;5560;;;
01/03/21;-16;5;6680;;;
