Tanggal,Positif (Indonesia),Dirawat (Indonesia),Sembuh (Indonesia),Meninggal (Indonesia),Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Positif Harian (Indonesia),Dirawat Harian (Indonesia),Sembuh Harian (Indonesia),Meninggal Harian (Indonesia),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
29/01/2020 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2020 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020 ,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
03/03/2020 ,2,2,0,0,1,0,0,2,3,2,0,0,0,0,1,0,0,2,3,2
04/03/2020 ,2,2,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0
05/03/2020 ,2,2,0,0,3,0,0,4,7,4,0,0,0,0,2,0,0,2,4,2
06/03/2020 ,4,4,0,0,3,0,0,4,7,4,2,2,0,0,0,0,0,0,0,0
07/03/2020 ,4,4,0,0,3,0,0,4,7,4,0,0,0,0,0,0,0,0,0,0
08/03/2020 ,6,6,0,0,3,0,0,4,7,4,2,2,0,0,0,0,0,0,0,0
09/03/2020 ,19,19,0,0,3,0,0,31,34,31,13,13,0,0,0,0,0,27,27,27
10/03/2020 ,27,25,2,0,3,0,0,31,34,31,8,6,2,0,0,0,0,0,0,0
11/03/2020 ,34,31,2,1,3,0,0,33,36,33,7,6,0,1,0,0,0,2,2,2
12/03/2020 ,34,31,2,1,5,0,0,57,62,57,0,0,0,0,2,0,0,24,26,24
13/03/2020 ,69,63,2,4,7,0,0,65,72,65,35,32,0,3,2,0,0,8,10,8
14/03/2020 ,96,83,8,5,9,0,0,70,79,70,27,20,6,1,2,0,0,5,7,5
15/03/2020 ,117,104,8,5,11,0,0,84,95,84,21,21,0,0,2,0,0,14,16,14
16/03/2020 ,134,121,8,5,12,0,7,78,97,85,17,17,0,0,1,0,7,-6,2,1
17/03/2020 ,172,158,9,5,12,0,27,83,122,110,38,37,1,0,0,0,20,5,25,25
18/03/2020 ,227,197,11,19,15,12,42,91,160,133,55,39,2,14,3,12,15,8,38,23
19/03/2020 ,309,269,15,25,19,13,57,121,210,178,82,72,4,6,4,1,15,30,50,45
20/03/2020 ,369,320,17,32,20,13,66,125,224,191,60,51,2,7,1,0,9,4,14,13
21/03/2020 ,450,392,20,38,23,17,71,157,268,228,81,72,3,6,3,4,5,32,44,37
22/03/2020 ,514,437,29,48,29,21,77,177,304,254,64,45,9,10,6,4,6,20,36,26
23/03/2020 ,579,500,30,49,29,22,79,225,355,304,65,63,1,1,0,1,2,48,51,50
24/03/2020 ,686,601,30,55,34,23,109,260,426,369,107,101,0,6,5,1,30,35,71,65
25/03/2020 ,790,701,31,58,43,27,112,290,472,402,104,100,1,3,9,4,3,30,46,33
26/03/2020 ,893,780,35,78,49,29,113,324,515,437,103,79,4,20,6,2,1,34,43,35
27/03/2020 ,"1,046",913,46,87,57,31,132,346,566,478,153,133,11,9,8,2,19,22,51,41
28/03/2020 ,"1,155",994,59,102,62,43,134,364,603,498,109,81,13,15,5,12,2,18,37,20
29/03/2020 ,"1,285","1,107",64,114,67,48,151,435,701,586,130,113,5,12,5,5,17,71,98,88
